"X" "XY" "X_XY" "Y" "ID"
"118" 3861 2990 3861 6094 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"119" 3881 3047 3881 6093 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"120" 4116 3253 4116 6087 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"121" 3861 2990 3861 6094 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"122" 3881 3049 3881 6093 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"123" 4125 3262 4125 6086 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"124" 3861 2992 3861 6094 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"125" 3882 3050 3882 6093 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"126" 4197 3312 4197 6114 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"127" 3861 2990 3861 6094 "1e-13_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"128" 3881 3047 3881 6093 "1e-12_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"129" 4118 3255 4118 6090 "1e-11_0.001_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"130" 3861 2990 3861 6094 "1e-13_1_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"131" 3881 3050 3881 6093 "1e-12_1_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"132" 4119 3283 4119 6086 "1e-11_1_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"133" 3861 2992 3861 6094 "1e-13_10_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"134" 3881 3072 3881 6093 "1e-12_10_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"135" 4196 3336 4196 6114 "1e-11_10_1_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"136" 3861 3042 3861 6091 "1e-13_0.001_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"137" 3886 3186 3886 6061 "1e-12_0.001_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"138" 4380 2844 4380 4305 "1e-11_0.001_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"139" 3861 3042 3861 6091 "1e-13_1_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"140" 3886 3187 3886 6061 "1e-12_1_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"141" 4415 2803 4415 4160 "1e-11_1_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"142" 3861 3042 3861 6091 "1e-13_10_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"143" 3893 3191 3893 6063 "1e-12_10_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"144" 4660 2906 4660 4068 "1e-11_10_10_0.85_-0.05_1e-08_1:1e-12_0.001_1_0.9_-0.05_1e-08_1"
"145" 3861 3042 3861 6091 "1e-13_0.001_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"146" 3886 3186 3886 6061 "1e-12_0.001_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"147" 4378 2857 4378 4337 "1e-11_0.001_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"148" 3861 3042 3861 6091 "1e-13_1_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"149" 3886 3189 3886 6061 "1e-12_1_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"150" 4411 2813 4411 4180 "1e-11_1_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"151" 3861 3044 3861 6091 "1e-13_10_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"152" 3893 3193 3893 6063 "1e-12_10_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"153" 4661 2919 4661 4088 "1e-11_10_10_0.85_-0.05_1e-08_1:1e-12_1_1_0.9_-0.05_1e-08_1"
"154" 3861 3042 3861 6091 "1e-13_0.001_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"155" 3887 3188 3887 6064 "1e-12_0.001_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"156" 4404 2899 4404 4405 "1e-11_0.001_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"157" 3861 3042 3861 6091 "1e-13_1_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"158" 3887 3191 3887 6063 "1e-12_1_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"159" 4410 2846 4410 4182 "1e-11_1_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"160" 3861 3044 3861 6091 "1e-13_10_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"161" 3887 3216 3887 6063 "1e-12_10_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"162" 4661 2952 4661 4088 "1e-11_10_10_0.85_-0.05_1e-08_1:1e-12_10_1_0.9_-0.05_1e-08_1"
"163" 3600 3018 3600 6098 "1e-13_0.001_0.01_0.85_-0.05_1e-08_1:1e-12_0.001_10_0.9_-0.05_1e-08_1"
