"alone1" "alone2" "intra1fx" "intra2fx" "inter1fx" "inter2fx" "fit_alone1" "fit_alone2" "epis" "loss" "loss2" "p1" "p2" "comb" "intra1" "intra2" "inter1" "inter2" "fitness" "cotransf" "exx1fx" "exx2fx" "lossXY" "time"
"1e-13_1_1_1.05_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1 1 1 1 1.05 0 0 1e-06 1 "1e-13_1_1_1.05_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-13_1_1_1.05_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-06 76364
"1e-12_1_1_1.05_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1 1 1 1 1.05 0 0 1e-06 1 "1e-12_1_1_1.05_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-12_1_1_1.05_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-06 18819
"1e-11_1_1_1.05_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1 1 1 1 1.05 0 0 1e-06 1 "1e-11_1_1_1.05_0_1e-06_1" "0_1_1_0_0_1e-06_1" "1e-11_1_1_1.05_0_1e-06_1:0_1_1_0_0_1e-06_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-06 43661
"1e-13_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 0.85 0 0 1e-04 1 "1e-13_1_1_0.85_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 4536
"1e-12_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 0.85 0 0 1e-04 1 "1e-12_1_1_0.85_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 5034
"1e-11_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.85 0 0 1e-04 1 "1e-11_1_1_0.85_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 5260
"1e-10_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1 1 1 1 0.85 0 0 1e-04 1 "1e-10_1_1_0.85_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-10_1_1_0.85_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-10 0 1e-10 0 0 0 1e-10 0 1e-04 184813
"1e-13_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1 1 1 1 0.9 0 0 1e-04 1 "1e-13_1_1_0.9_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-13_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-13 0 1e-13 0 0 0 1e-13 0 1e-04 6956
"1e-12_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1 1 1 1 0.9 0 0 1e-04 1 "1e-12_1_1_0.9_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-12_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-12 0 1e-12 0 0 0 1e-12 0 1e-04 7059
"1e-11_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1 1 1 1 0.9 0 0 1e-04 1 "1e-11_1_1_0.9_0_1e-04_1" "0_1_1_0_0_1e-04_1" "1e-11_1_1_0.9_0_1e-04_1:0_1_1_0_0_1e-04_1" 1e-11 0 1e-11 0 0 0 1e-11 0 1e-04 8318
