"X" "XY" "X_XY" "Y" "ID"
"96" 18784 9885 18784 11918 "1e-11_1_1_0.95_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"97" 11692 9782 11692 18829 "1e-13_1_1_0.95_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"98" 11918 9885 11918 18784 "1e-12_1_1_0.95_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"99" 17125 11266 17125 17125 "1e-11_1_1_0.95_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"100" 23798 9615 23798 11636 "1e-13_1_1_0.975_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"101" 25572 10280 25572 11581 "1e-12_1_1_0.975_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"102" 108867 8754 108867 8149 "1e-11_1_1_0.975_0_1e-08_1:1e-13_1_1_0.95_0_1e-08_1"
"103" 23794 10278 23794 11761 "1e-13_1_1_0.975_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"104" 25566 10574 25566 11679 "1e-12_1_1_0.975_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"105" 108846 8941 108846 8166 "1e-11_1_1_0.975_0_1e-08_1:1e-12_1_1_0.95_0_1e-08_1"
"106" 23735 12193 23735 14897 "1e-13_1_1_0.975_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"107" 25482 12421 25482 14605 "1e-12_1_1_0.975_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"108" 108173 13067 108173 8460 "1e-11_1_1_0.975_0_1e-08_1:1e-11_1_1_0.95_0_1e-08_1"
"109" 2764 2125 2764 24026 "1e-13_1_1_0.85_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"110" 2765 2407 2765 24026 "1e-12_1_1_0.85_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"111" 2774 2920 2920 24024 "1e-11_1_1_0.85_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"112" 2727 2373 2727 25826 "1e-13_1_1_0.85_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"113" 2727 2479 2727 25826 "1e-12_1_1_0.85_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"114" 2737 2912 2912 25824 "1e-11_1_1_0.85_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"115" 2403 2512 2512 109372 "1e-13_1_1_0.85_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"116" 2404 2540 2540 109372 "1e-12_1_1_0.85_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"117" 2412 2846 2846 109363 "1e-11_1_1_0.85_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"118" 4671 3619 4671 23967 "1e-13_1_1_0.9_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"119" 4674 4086 4674 23966 "1e-12_1_1_0.9_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"120" 4714 5035 5035 23959 "1e-11_1_1_0.9_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"121" 4568 3993 4568 25764 "1e-13_1_1_0.9_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"122" 4571 4169 4571 25763 "1e-12_1_1_0.9_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"123" 4609 4994 4994 25754 "1e-11_1_1_0.9_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"124" 3741 3965 3965 109279 "1e-13_1_1_0.9_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"125" 3744 4021 4021 109277 "1e-12_1_1_0.9_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"126" 3772 4742 4742 109238 "1e-11_1_1_0.9_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
"127" 11636 9615 11636 23798 "1e-13_1_1_0.95_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"128" 11761 10278 11761 23794 "1e-12_1_1_0.95_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"129" 14897 12193 14897 23735 "1e-11_1_1_0.95_0_1e-08_1:1e-13_1_1_0.975_0_1e-08_1"
"130" 11581 10280 11581 25572 "1e-13_1_1_0.95_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"131" 11679 10574 11679 25566 "1e-12_1_1_0.95_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"132" 14605 12421 14605 25482 "1e-11_1_1_0.95_0_1e-08_1:1e-12_1_1_0.975_0_1e-08_1"
"133" 8149 8754 8754 108867 "1e-13_1_1_0.95_0_1e-08_1:1e-11_1_1_0.975_0_1e-08_1"
